source	lines	public_declarations	direct_test_importers
compiler/std/archive/tar/pax.dyn	94	3	tests/sdk-archive,tests/sdk-depth,tests/sdk-lifetimes,tests/sdk-storage-contracts,tests/stdlib-foundation
compiler/std/archive/tar/tar.dyn	187	9	tests/sdk-archive,tests/sdk-depth,tests/sdk-lifetimes,tests/sdk-storage-contracts,tests/stdlib-foundation
compiler/std/archive/zip/index.dyn	75	2	tests/sdk-archive,tests/sdk-storage-contracts
compiler/std/archive/zip/zip.dyn	166	11	tests/sdk-archive,tests/sdk-storage-contracts
compiler/std/bufio/bufio.dyn	172	10	tests/sdk-boundaries,tests/sdk-bufio,tests/stdlib-contracts,tests/stdlib-io
compiler/std/bytes/builder/builder.dyn	53	8	tests/sdk-collections
compiler/std/bytes/bytes.dyn	187	27	tests/sdk-api-contracts,tests/sdk-collections,tests/sdk-foundation,tests/sdk-hardening,tests/sdk-http-workers,tests/sdk-lifetimes,tests/sdk-namespaces,tests/sdk-process,tests/sdk-sqlite,tests/sdk-storage-contracts,tests/sdk-unicode-text,tests/sdk-watch,tests/stdlib-mem-extra
compiler/std/c/c.dyn	79	28	tests/sdk-buffer-contracts,tests/stdlib-c
compiler/std/c/char_linux_aarch64.dyn	3	1	tests/sdk-buffer-contracts,tests/stdlib-c
compiler/std/c/char_linux_x86_64.dyn	3	1	tests/sdk-buffer-contracts,tests/stdlib-c
compiler/std/c/darwin.dyn	4	3	tests/sdk-buffer-contracts,tests/stdlib-c
compiler/std/c/linux.dyn	3	2	tests/sdk-buffer-contracts,tests/stdlib-c
compiler/std/c/windows.dyn	4	3	tests/sdk-buffer-contracts,tests/stdlib-c
compiler/std/compress/deflate/deflate.dyn	666	13	tests/deflate-encode,tests/sdk-depth,tests/stdlib-depth
compiler/std/compress/gzip/gzip.dyn	21	5	tests/sdk-depth,tests/stdlib-depth
compiler/std/compress/zstd/zstd.dyn	85	15	tests/sdk-zstd
compiler/std/container/bit_set/bit_set.dyn	17	3	tests/sdk-tools,tests/stdlib-mem-extra
compiler/std/container/ring/ring.dyn	23	5	tests/sdk-tools,tests/stdlib-mem-extra
compiler/std/container/slot_map/slot_map.dyn	79	9	tests/sdk-layout
compiler/std/container/string_map/string_map.dyn	93	9	tests/sdk-collections
compiler/std/crypto/aead/aead.dyn	14	4	tests/sdk-aead
compiler/std/crypto/aes/aes.dyn	9	3	tests/sdk-aead
compiler/std/crypto/certificate/certificate.dyn	27	4	tests/sdk-crypto
compiler/std/crypto/chacha20/chacha20.dyn	59	2	tests/sdk-crypto
compiler/std/crypto/core/core.dyn	170	8	
compiler/std/crypto/der/der.dyn	33	7	tests/sdk-crypto
compiler/std/crypto/exchange/exchange.dyn	4	3	tests/sdk-aead
compiler/std/crypto/hmac/hmac.dyn	5	1	tests/sdk-depth,tests/stdlib-depth
compiler/std/crypto/kdf/kdf.dyn	37	3	tests/sdk-crypto
compiler/std/crypto/password/password.dyn	28	1	tests/sdk-crypto
compiler/std/crypto/pem/pem.dyn	49	2	tests/sdk-crypto
compiler/std/crypto/random/random.dyn	3	1	tests/stdlib-depth
compiler/std/crypto/sha2/sha2.dyn	8	6	tests/sdk-depth,tests/stdlib-depth
